tournament_year,match_id,match_date,home_team,away_team,home_win_odds,draw_odds,away_win_odds,handicap,handicap_home_odds,handicap_draw_odds,handicap_away_odds,captured_at,source,result
2018,257,2018-06-14 18:00:00,Russia,Saudi Arabia,1.48,4.44,8.9,,,,,2018-06-14 23:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-2,Home Win
2018,258,2018-06-15 17:00:00,Egypt,Uruguay,8.2,4.24,1.53,,,,,2018-06-15 20:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-2,Away Win
2018,263,2018-06-15 18:00:00,Morocco,Iran,2.22,3.05,4.28,,,,,2018-06-15 23:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-2,Away Win
2018,264,2018-06-15 21:00:00,Portugal,Spain,4.6,3.28,2.04,,,,,2018-06-16 02:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-2,Draw
2018,269,2018-06-16 13:00:00,France,Australia,1.27,7.4,11.0,,,,,2018-06-16 18:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-2,Home Win
2018,275,2018-06-16 16:00:00,Argentina,Iceland,1.34,5.65,11.5,,,,,2018-06-16 21:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-2,Draw
2018,270,2018-06-16 19:00:00,Peru,Denmark,3.8,3.17,2.32,,,,,2018-06-17 00:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-2,Away Win
2018,276,2018-06-16 21:00:00,Croatia,Nigeria,1.69,3.84,6.3,,,,,2018-06-17 03:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-2,Home Win
2018,281,2018-06-17 16:00:00,Costa Rica,Serbia,5.35,3.46,1.86,,,,,2018-06-17 20:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-2,Away Win
2018,287,2018-06-17 18:00:00,Germany,Mexico,1.53,4.6,7.1,,,,,2018-06-17 23:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-2,Away Win
