tournament_year,team_name,country,confederation,fifa_ranking,elo_rating,squad_market_value_eur,average_age,total_caps,average_caps,world_cup_history_score,recent_two_year_rating,projected_starting_xi,key_injuries,coach,last_world_cup_finish,source,captured_at
2026,Algeria,Algeria,CAF,28,1760.0,256900000.0,26.9,,,,0.8333,[],[],,Did not qualify 2022,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Argentina,Argentina,CONMEBOL,3,2115.0,782500000.0,29.1,,,,0.7037,[],[],,Finalist,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Australia,Australia,AFC,27,1777.0,77450000.0,27.4,,,,0.7708,[],[],,Round of 16,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Austria,Austria,UEFA,24,1830.0,242200000.0,28.6,,,,0.7917,[],[],,Did not qualify 2022,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Belgium,Belgium,UEFA,9,1894.0,547500000.0,27.6,,,,0.75,[],[],,Qualified 2022,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Bosnia and Herzegovina,Bosnia and Herzegovina,UEFA,,1595.0,151600000.0,26.4,,,,0.6333,[],[],,Did not qualify 2022,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Brazil,Brazil,CONMEBOL,6,1991.0,928200000.0,29.4,,,,0.5185,[],[],,Quarter-final,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Cabo Verde,Cabo Verde,CAF,69,1578.0,54500000.0,29.7,,,,0.7667,[],[],,Did not qualify 2022,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Canada,Canada,CONCACAF,30,1788.0,198650000.0,27.0,,,,,[],[],,Qualified 2022,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Colombia,Colombia,CONMEBOL,13,1982.0,302350000.0,30.1,,,,0.5185,[],[],,Did not qualify 2022,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Cote d'Ivoire,Cote d'Ivoire,CAF,34,1695.0,522100000.0,25.9,,,,0.8667,[],[],,Did not qualify 2022,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
