section,bucket,matches,result_accuracy,score_accuracy,handicap_accuracy,roi,average_roi,note
overall,Total Matches,12,83.33,33.33,0.0,52.42,52.42,
confidence,0-40,0,0.0,0.0,,0.0,,
confidence,40-50,3,66.67,33.33,,71.67,,
confidence,50-60,0,0.0,0.0,,0.0,,
confidence,60-70,2,50.0,50.0,,-41.0,,
confidence,70-80,2,100.0,50.0,,21.5,,
confidence,80+,5,100.0,20.0,,90.6,,
upset,0-20,2,100.0,50.0,,124.5,,
upset,20-40,5,80.0,20.0,,26.0,,
upset,40-50,2,100.0,50.0,,48.5,,
upset,50-60,3,66.67,33.33,,51.0,,
upset,60-70,0,0.0,0.0,,0.0,,
upset,70+,0,0.0,0.0,,0.0,,
filter_strategy,A_all_matches,12,83.33,33.33,,52.42,,none
filter_strategy,B_filter_upset_gt_50,9,88.89,33.33,,52.89,,upset_probability <= 50
filter_strategy,C_filter_upset_gt_55,10,90.0,40.0,,71.2,,upset_probability <= 55
filter_strategy,D_filter_upset_gt_60,12,83.33,33.33,,52.42,,upset_probability <= 60
filter_strategy,E_filter_upset_gt_65,12,83.33,33.33,,52.42,,upset_probability <= 65
market_model_conflict,conflict,3,33.33,,,-19.67,,
market_model_conflict,normal,9,100.0,,,76.44,,
top_confidence,Top 10%,2,100.0,50.0,,124.5,,
top_confidence,Top 20%,3,100.0,33.33,,119.0,,
top_confidence,Top 30%,4,100.0,25.0,,109.75,,
top_confidence,Top 50%,6,100.0,33.33,,79.83,,
top_confidence,All Matches,12,83.33,33.33,,52.42,,
