sample,match_id,match_date,home_team,away_team,predicted_result,actual_result,predicted_score,actual_score,confidence_score,upset_probability,home_probability,draw_probability,away_probability,result_hit,score_hit
2018,257,2018-06-14T18:00:00,Russia,Saudi Arabia,Home Win,Home Win,4-2,5-0,45.27,28.94,45.27,28.94,25.79,True,False
2018,258,2018-06-15T17:00:00,Egypt,Uruguay,Away Win,Away Win,0-2,0-1,41.43,30.03,30.03,28.53,41.43,True,False
2018,263,2018-06-15T18:00:00,Morocco,Iran,Draw,Away Win,1-1,0-1,31.23,31.23,40.06,31.23,28.71,False,False
2018,264,2018-06-15T21:00:00,Portugal,Spain,Away Win,Draw,0-2,3-3,36.94,34.07,34.07,28.98,36.94,False,False
2018,269,2018-06-16T13:00:00,France,Australia,Home Win,Home Win,2-1,2-1,53.91,24.13,53.91,21.96,24.13,True,True
2018,275,2018-06-16T16:00:00,Argentina,Iceland,Home Win,Draw,1-0,1-1,47.9,27.84,47.9,24.26,27.84,False,False
2018,270,2018-06-16T19:00:00,Peru,Denmark,Away Win,Away Win,2-4,0-1,40.9,29.65,29.65,29.45,40.9,True,False
2018,276,2018-06-16T21:00:00,Croatia,Nigeria,Home Win,Home Win,1-0,2-0,41.57,30.03,41.57,28.4,30.03,True,False
2018,281,2018-06-17T16:00:00,Costa Rica,Serbia,Draw,Away Win,1-1,0-1,30.23,34.01,35.75,30.23,34.01,False,False
2018,287,2018-06-17T18:00:00,Germany,Mexico,Home Win,Away Win,2-1,0-1,55.34,22.78,55.34,21.87,22.78,False,False
2018,282,2018-06-17T21:00:00,Brazil,Switzerland,Home Win,Draw,3-1,1-1,49.85,25.21,49.85,24.94,25.21,False,False
2018,288,2018-06-18T15:00:00,Sweden,South Korea,Home Win,Home Win,2-1,1-0,51.26,26.21,51.26,22.53,26.21,True,False
2018,293,2018-06-18T18:00:00,Belgium,Panama,Home Win,Home Win,1-0,3-0,37.75,33.55,37.75,28.7,33.55,True,False
2018,294,2018-06-18T21:00:00,Tunisia,England,Away Win,Away Win,0-1,1-2,46.58,28.05,25.37,28.05,46.58,True,False
2018,299,2018-06-19T15:00:00,Colombia,Japan,Home Win,Away Win,2-0,1-2,45.07,28.41,45.07,26.52,28.41,False,False
2018,300,2018-06-19T18:00:00,Poland,Senegal,Away Win,Away Win,0-1,1-2,36.49,34.31,34.31,29.2,36.49,True,False
2018,259,2018-06-19T21:00:00,Russia,Egypt,Home Win,Home Win,2-0,3-1,41.18,30.67,41.18,28.16,30.67,True,False
2018,265,2018-06-20T15:00:00,Portugal,Morocco,Home Win,Home Win,2-0,1-0,47.01,28.47,47.01,24.52,28.47,True,False
2018,260,2018-06-20T18:00:00,Uruguay,Saudi Arabia,Home Win,Home Win,4-2,1-0,55.06,23.36,55.06,21.58,23.36,True,False
2018,266,2018-06-20T21:00:00,Iran,Spain,Away Win,Away Win,0-1,0-1,52.92,24.12,24.12,22.96,52.92,True,True
2018,271,2018-06-21T16:00:00,Denmark,Australia,Home Win,Draw,3-2,1-1,46.81,27.4,46.81,25.8,27.4,False,False
2018,272,2018-06-21T20:00:00,France,Peru,Home Win,Home Win,2-1,1-0,49.84,25.51,49.84,25.51,24.65,True,False
2018,277,2018-06-21T21:00:00,Argentina,Croatia,Home Win,Away Win,2-0,0-3,44.26,30.49,44.26,25.25,30.49,False,False
2018,283,2018-06-22T15:00:00,Brazil,Costa Rica,Home Win,Home Win,3-2,2-0,53.57,23.97,53.57,22.46,23.97,True,False
2018,278,2018-06-22T18:00:00,Nigeria,Iceland,Away Win,Home Win,0-1,2-0,40.74,30.62,30.62,28.64,40.74,False,False
2018,284,2018-06-22T20:00:00,Serbia,Switzerland,Draw,Away Win,0-0,1-2,31.74,33.03,33.03,31.74,35.23,False,False
2018,295,2018-06-23T15:00:00,Belgium,Tunisia,Home Win,Home Win,1-0,5-2,44.47,27.83,44.47,27.7,27.83,True,False
2018,289,2018-06-23T18:00:00,South Korea,Mexico,Away Win,Away Win,1-2,1-2,49.12,27.67,27.67,23.21,49.12,True,True
2018,290,2018-06-23T21:00:00,Germany,Sweden,Home Win,Home Win,2-1,2-1,48.8,27.38,48.8,23.82,27.38,True,True
2018,296,2018-06-24T15:00:00,England,Panama,Home Win,Home Win,2-0,6-1,55.91,22.18,55.91,21.9,22.18,True,False
2018,301,2018-06-24T20:00:00,Japan,Senegal,Away Win,Draw,0-1,2-2,42.83,29.66,29.66,27.51,42.83,False,False
