group,match_id,year,match_date,stage,stage_type,match,home_team,away_team,predicted_result,predicted_result_team,actual_result,home_probability,draw_probability,away_probability,home_away_probability_gap,win_probability_gap,elo_difference,market_odds_difference,expected_goals,predicted_total_goals,btts_recommendation,market_favorite,market_favorite_team,market_favorite_status,upset_probability,predicted_score,top3_score_distribution,confidence_score
B_missed_draw,264,2018,2018-06-15T21:00:00,Group Stage,Group Stage,Portugal vs Spain,Portugal,Spain,Away Win,Spain,Draw,34.07,28.98,36.94,2.87,7.96,,2.56,,2,,Away Win,Spain,Market and model aligned,63.06,0-2,,36.94
B_missed_draw,275,2018,2018-06-16T16:00:00,Group Stage,Group Stage,Argentina vs Iceland,Argentina,Iceland,Home Win,Argentina,Draw,47.9,24.26,27.84,20.06,23.64,,10.16,,1,,Home Win,Argentina,Market and model aligned,52.1,1-0,,47.9
B_missed_draw,282,2018,2018-06-17T21:00:00,Group Stage,Group Stage,Brazil vs Switzerland,Brazil,Switzerland,Home Win,Brazil,Draw,49.85,24.94,25.21,24.64,24.91,,6.82,,4,,Home Win,Brazil,Market and model aligned,50.15,3-1,,49.85
B_missed_draw,271,2018,2018-06-21T16:00:00,Group Stage,Group Stage,Denmark vs Australia,Denmark,Australia,Home Win,Denmark,Draw,46.81,25.8,27.4,19.41,21.01,,2.74,,5,,Home Win,Denmark,Market and model aligned,53.19,3-2,,46.81
B_missed_draw,301,2018,2018-06-24T20:00:00,Group Stage,Group Stage,Japan vs Senegal,Japan,Senegal,Away Win,Senegal,Draw,29.66,27.51,42.83,13.17,15.32,,1.05,,1,,Away Win,Senegal,Market and model aligned,57.17,0-1,,42.83
B_missed_draw,268,2018,2018-06-25T20:00:00,Group Stage,Group Stage,Spain vs Morocco,Spain,Morocco,Home Win,Spain,Draw,49.73,23.59,26.68,23.05,26.14,,11.19,,1,,Home Win,Spain,Market and model aligned,50.27,1-0,,49.73
B_missed_draw,267,2018,2018-06-25T21:00:00,Group Stage,Group Stage,Iran vs Portugal,Iran,Portugal,Away Win,Portugal,Draw,24.56,23.44,51.99,27.43,28.55,,5.46,,2,,Away Win,Portugal,Market and model aligned,48.01,0-2,,51.99
B_missed_draw,273,2018,2018-06-26T17:00:00,Group Stage,Group Stage,Denmark vs France,Denmark,France,Away Win,France,Draw,29.65,27.26,43.09,13.44,15.83,,4.5,,3,,Away Win,France,Market and model aligned,56.91,1-2,,43.09
B_missed_draw,286,2018,2018-06-27T21:00:00,Group Stage,Group Stage,Switzerland vs Costa Rica,Switzerland,Costa Rica,Home Win,Switzerland,Draw,39.05,28.82,32.13,6.92,10.23,,6.45,,2,,Home Win,Switzerland,Market and model aligned,60.95,2-0,,39.05
B_missed_draw,307,2018,2018-07-01T17:00:00,Round of 16,Knockout Stage,Spain vs Russia,Spain,Russia,Home Win,Spain,Draw,44.24,25.06,30.7,13.54,19.18,,5.32,,5,,Home Win,Spain,Market and model aligned,55.76,3-2,,44.24
A_hit_draw,308,2018,2018-07-01T21:00:00,Round of 16,Knockout Stage,Croatia vs Denmark,Croatia,Denmark,Draw,Draw,Draw,37.23,30.75,32.02,5.21,6.48,,3.2,,2,,Home Win,Croatia,Market and model conflict,62.77,1-1,,30.75
A_hit_draw,312,2018,2018-07-03T21:00:00,Round of 16,Knockout Stage,Colombia vs England,Colombia,England,Draw,Draw,Draw,32.44,31.88,35.67,3.23,3.79,,2.0,,2,,Away Win,England,Market and model conflict,64.33,1-1,,31.88
