feature,group,value,matches,percentage
stage_type,A_hit_draw,Knockout Stage,5,71.43
stage_type,A_hit_draw,Group Stage,2,28.57
stage_type,B_missed_draw,Group Stage,17,77.27
stage_type,B_missed_draw,Knockout Stage,5,22.73
market_favorite_status,A_hit_draw,Market and model conflict,7,100.0
market_favorite_status,B_missed_draw,Market and model aligned,20,90.91
market_favorite_status,B_missed_draw,Market and model conflict,2,9.09
predicted_result,A_hit_draw,Draw,7,100.0
predicted_result,B_missed_draw,Home Win,12,54.55
predicted_result,B_missed_draw,Away Win,10,45.45
predicted_score,A_hit_draw,1-1,4,57.14
predicted_score,A_hit_draw,0-0,2,28.57
predicted_score,A_hit_draw,3-3,1,14.29
predicted_score,B_missed_draw,0-2,4,18.18
predicted_score,B_missed_draw,1-0,4,18.18
predicted_score,B_missed_draw,1-2,4,18.18
predicted_score,B_missed_draw,2-0,3,13.64
predicted_score,B_missed_draw,2-1,2,9.09
predicted_score,B_missed_draw,3-2,2,9.09
predicted_score,B_missed_draw,0-1,1,4.55
predicted_score,B_missed_draw,1-3,1,4.55
predicted_score,B_missed_draw,3-1,1,4.55
btts_recommendation,A_hit_draw,Unavailable,7,100.0
btts_recommendation,B_missed_draw,Unavailable,22,100.0
top3_score_distribution,A_hit_draw,Unavailable,7,100.0
top3_score_distribution,B_missed_draw,Unavailable,22,100.0
