match_id,year,match_date,match,prediction_type,actual_result,hit,predicted_score,home_probability,draw_probability,away_probability,confidence_score,upset_probability,odds,return_units,roi
257,2018,2018-06-14T18:00:00,Russia vs Saudi Arabia,Home Win,Home Win,True,4-2,45.27,28.94,25.79,45.27,54.73,1.48,1.48,48.0
258,2018,2018-06-15T17:00:00,Egypt vs Uruguay,Away Win,Away Win,True,0-2,30.03,28.53,41.43,41.43,58.57,1.53,1.53,53.0
263,2018,2018-06-15T18:00:00,Morocco vs Iran,Draw,Away Win,False,1-1,40.06,31.23,28.71,31.23,59.94,3.05,0.0,-100.0
264,2018,2018-06-15T21:00:00,Portugal vs Spain,Away Win,Draw,False,0-2,34.07,28.98,36.94,36.94,63.06,2.04,0.0,-100.0
269,2018,2018-06-16T13:00:00,France vs Australia,Home Win,Home Win,True,2-1,53.91,21.96,24.13,53.91,46.09,1.27,1.27,27.0
275,2018,2018-06-16T16:00:00,Argentina vs Iceland,Home Win,Draw,False,1-0,47.9,24.26,27.84,47.9,52.1,1.34,0.0,-100.0
270,2018,2018-06-16T19:00:00,Peru vs Denmark,Away Win,Away Win,True,2-4,29.65,29.45,40.9,40.9,59.1,2.32,2.32,132.0
276,2018,2018-06-16T21:00:00,Croatia vs Nigeria,Home Win,Home Win,True,1-0,41.57,28.4,30.03,41.57,58.43,1.69,1.69,69.0
281,2018,2018-06-17T16:00:00,Costa Rica vs Serbia,Draw,Away Win,False,1-1,35.75,30.23,34.01,30.23,65.99,3.46,0.0,-100.0
287,2018,2018-06-17T18:00:00,Germany vs Mexico,Home Win,Away Win,False,2-1,55.34,21.87,22.78,55.34,44.66,1.53,0.0,-100.0
282,2018,2018-06-17T21:00:00,Brazil vs Switzerland,Home Win,Draw,False,3-1,49.85,24.94,25.21,49.85,50.15,1.48,0.0,-100.0
288,2018,2018-06-18T15:00:00,Sweden vs South Korea,Home Win,Home Win,True,2-1,51.26,22.53,26.21,51.26,48.74,2.28,2.28,128.0
293,2018,2018-06-18T18:00:00,Belgium vs Panama,Home Win,Home Win,True,1-0,37.75,28.7,33.55,37.75,62.25,1.25,1.25,25.0
294,2018,2018-06-18T21:00:00,Tunisia vs England,Away Win,Away Win,True,0-1,25.37,28.05,46.58,46.58,53.42,1.51,1.51,51.0
299,2018,2018-06-19T15:00:00,Colombia vs Japan,Home Win,Away Win,False,2-0,45.07,26.52,28.41,45.07,54.93,1.86,0.0,-100.0
300,2018,2018-06-19T18:00:00,Poland vs Senegal,Away Win,Away Win,True,0-1,34.31,29.2,36.49,36.49,65.69,3.38,3.38,238.0
259,2018,2018-06-19T21:00:00,Russia vs Egypt,Home Win,Home Win,True,2-0,41.18,28.16,30.67,41.18,58.82,1.99,1.99,99.0
265,2018,2018-06-20T15:00:00,Portugal vs Morocco,Home Win,Home Win,True,2-0,47.01,24.52,28.47,47.01,52.99,1.7,1.7,70.0
260,2018,2018-06-20T18:00:00,Uruguay vs Saudi Arabia,Home Win,Home Win,True,4-2,55.06,21.58,23.36,55.06,44.94,1.2,1.2,20.0
266,2018,2018-06-20T21:00:00,Iran vs Spain,Away Win,Away Win,True,0-1,24.12,22.96,52.92,52.92,47.08,1.18,1.18,18.0
271,2018,2018-06-21T16:00:00,Denmark vs Australia,Home Win,Draw,False,3-2,46.81,25.8,27.4,46.81,53.19,1.9,0.0,-100.0
272,2018,2018-06-21T20:00:00,France vs Peru,Home Win,Home Win,True,2-1,49.84,25.51,24.65,49.84,50.16,1.55,1.55,55.0
277,2018,2018-06-21T21:00:00,Argentina vs Croatia,Home Win,Away Win,False,2-0,44.26,25.25,30.49,44.26,55.74,1.98,0.0,-100.0
283,2018,2018-06-22T15:00:00,Brazil vs Costa Rica,Home Win,Home Win,True,3-2,53.57,22.46,23.97,53.57,46.43,1.19,1.19,19.0
278,2018,2018-06-22T18:00:00,Nigeria vs Iceland,Away Win,Home Win,False,0-1,30.62,28.64,40.74,40.74,59.26,2.56,0.0,-100.0
284,2018,2018-06-22T20:00:00,Serbia vs Switzerland,Draw,Away Win,False,0-0,33.03,31.74,35.23,31.74,64.77,2.96,0.0,-100.0
295,2018,2018-06-23T15:00:00,Belgium vs Tunisia,Home Win,Home Win,True,1-0,44.47,27.7,27.83,44.47,55.53,1.3,1.3,30.0
289,2018,2018-06-23T18:00:00,South Korea vs Mexico,Away Win,Away Win,True,1-2,27.67,23.21,49.12,49.12,50.88,1.64,1.64,64.0
290,2018,2018-06-23T21:00:00,Germany vs Sweden,Home Win,Home Win,True,2-1,48.8,23.82,27.38,48.8,51.2,1.41,1.41,41.0
296,2018,2018-06-24T15:00:00,England vs Panama,Home Win,Home Win,True,2-0,55.91,21.9,22.18,55.91,44.09,1.21,1.21,21.0
301,2018,2018-06-24T20:00:00,Japan vs Senegal,Away Win,Draw,False,0-1,29.66,27.51,42.83,42.83,57.17,2.47,0.0,-100.0
302,2018,2018-06-24T21:00:00,Poland vs Colombia,Away Win,Away Win,True,1-2,32.91,29.04,38.05,38.05,61.95,2.13,2.13,113.0
262,2018,2018-06-25T17:00:00,Saudi Arabia vs Egypt,Away Win,Home Win,False,1-2,27.8,27.32,44.88,44.88,55.12,1.7,0.0,-100.0
261,2018,2018-06-25T18:00:00,Uruguay vs Russia,Home Win,Home Win,True,4-2,36.71,27.07,36.22,36.71,63.78,3.06,3.06,206.0
268,2018,2018-06-25T20:00:00,Spain vs Morocco,Home Win,Draw,False,1-0,49.73,23.59,26.68,49.73,50.27,1.31,0.0,-100.0
267,2018,2018-06-25T21:00:00,Iran vs Portugal,Away Win,Draw,False,0-2,24.56,23.44,51.99,51.99,48.01,1.54,0.0,-100.0
