condition_id,condition,match_id,year,match,actual_result,predicted_result,is_actual_draw,draw_probability,win_probability_gap,predicted_total_goals,upset_probability
C01,Draw Probability >= 25%,257,2018,Russia vs Saudi Arabia,Home Win,Home Win,False,28.94,16.33,6,54.73
C01,Draw Probability >= 25%,258,2018,Egypt vs Uruguay,Away Win,Away Win,False,28.53,12.9,2,58.57
C01,Draw Probability >= 25%,263,2018,Morocco vs Iran,Away Win,Draw,False,31.23,8.83,2,59.94
C01,Draw Probability >= 25%,264,2018,Portugal vs Spain,Draw,Away Win,True,28.98,7.96,2,63.06
C01,Draw Probability >= 25%,270,2018,Peru vs Denmark,Away Win,Away Win,False,29.45,11.45,6,59.1
C01,Draw Probability >= 25%,276,2018,Croatia vs Nigeria,Home Win,Home Win,False,28.4,13.17,1,58.43
C01,Draw Probability >= 25%,281,2018,Costa Rica vs Serbia,Away Win,Draw,False,30.23,5.52,2,65.99
C01,Draw Probability >= 25%,293,2018,Belgium vs Panama,Home Win,Home Win,False,28.7,9.05,1,62.25
C01,Draw Probability >= 25%,294,2018,Tunisia vs England,Away Win,Away Win,False,28.05,18.53,1,53.42
C01,Draw Probability >= 25%,299,2018,Colombia vs Japan,Away Win,Home Win,False,26.52,18.54,2,54.93
C01,Draw Probability >= 25%,300,2018,Poland vs Senegal,Away Win,Away Win,False,29.2,7.29,1,65.69
C01,Draw Probability >= 25%,259,2018,Russia vs Egypt,Home Win,Home Win,False,28.16,13.02,2,58.82
C01,Draw Probability >= 25%,271,2018,Denmark vs Australia,Draw,Home Win,True,25.8,21.01,5,53.19
C01,Draw Probability >= 25%,272,2018,France vs Peru,Home Win,Home Win,False,25.51,24.33,3,50.16
C01,Draw Probability >= 25%,277,2018,Argentina vs Croatia,Away Win,Home Win,False,25.25,19.01,2,55.74
C01,Draw Probability >= 25%,278,2018,Nigeria vs Iceland,Home Win,Away Win,False,28.64,12.1,1,59.26
C01,Draw Probability >= 25%,284,2018,Serbia vs Switzerland,Away Win,Draw,False,31.74,3.5,0,64.77
C01,Draw Probability >= 25%,295,2018,Belgium vs Tunisia,Home Win,Home Win,False,27.7,16.77,1,55.53
C01,Draw Probability >= 25%,301,2018,Japan vs Senegal,Draw,Away Win,True,27.51,15.32,1,57.17
C01,Draw Probability >= 25%,302,2018,Poland vs Colombia,Away Win,Away Win,False,29.04,9.0,3,61.95
C01,Draw Probability >= 25%,262,2018,Saudi Arabia vs Egypt,Home Win,Away Win,False,27.32,17.56,3,55.12
C01,Draw Probability >= 25%,261,2018,Uruguay vs Russia,Home Win,Home Win,False,27.07,9.65,6,63.78
C01,Draw Probability >= 25%,273,2018,Denmark vs France,Draw,Away Win,True,27.26,15.84,3,56.91
C01,Draw Probability >= 25%,274,2018,Australia vs Peru,Away Win,Away Win,False,29.28,7.68,3,63.04
C01,Draw Probability >= 25%,280,2018,Iceland vs Croatia,Away Win,Draw,False,30.28,13.62,2,56.1
C01,Draw Probability >= 25%,292,2018,Mexico vs Sweden,Away Win,Away Win,False,29.66,7.12,2,66.45
C01,Draw Probability >= 25%,286,2018,Switzerland vs Costa Rica,Draw,Home Win,True,28.82,10.24,2,60.95
C01,Draw Probability >= 25%,303,2018,Japan vs Poland,Away Win,Away Win,False,27.75,10.42,2,65.91
C01,Draw Probability >= 25%,304,2018,Senegal vs Colombia,Away Win,Away Win,False,29.52,7.11,3,63.37
C01,Draw Probability >= 25%,297,2018,England vs Belgium,Away Win,Home Win,False,28.65,10.26,2,61.09
C01,Draw Probability >= 25%,305,2018,France vs Argentina,Home Win,Draw,False,33.75,0.01,2,66.24
C01,Draw Probability >= 25%,306,2018,Uruguay vs Portugal,Home Win,Draw,False,30.01,8.04,4,61.95
C01,Draw Probability >= 25%,307,2018,Spain vs Russia,Draw,Home Win,True,25.06,19.19,5,55.76
C01,Draw Probability >= 25%,308,2018,Croatia vs Denmark,Draw,Draw,True,30.75,6.47,2,62.77
C01,Draw Probability >= 25%,310,2018,Belgium vs Japan,Home Win,Home Win,False,27.87,16.6,1,55.53
C01,Draw Probability >= 25%,311,2018,Sweden vs Switzerland,Home Win,Home Win,False,29.28,9.15,3,67.71
C01,Draw Probability >= 25%,312,2018,Colombia vs England,Draw,Draw,True,31.88,3.79,2,64.33
C01,Draw Probability >= 25%,313,2018,Uruguay vs France,Away Win,Away Win,False,26.45,16.76,4,56.79
C01,Draw Probability >= 25%,314,2018,Brazil vs Belgium,Away Win,Home Win,False,27.2,18.58,4,54.22
C01,Draw Probability >= 25%,315,2018,Sweden vs England,Away Win,Draw,False,30.54,5.53,2,63.93
C01,Draw Probability >= 25%,316,2018,Russia vs Croatia,Draw,Away Win,True,27.95,13.97,3,58.08
C01,Draw Probability >= 25%,317,2018,France vs Belgium,Home Win,Draw,False,31.32,8.03,2,60.65
C01,Draw Probability >= 25%,318,2018,Croatia vs England,Draw,Draw,True,30.77,5.37,2,63.86
C01,Draw Probability >= 25%,319,2018,Belgium vs England,Home Win,Away Win,False,28.39,9.14,2,65.93
C01,Draw Probability >= 25%,320,2018,France vs Croatia,Home Win,Home Win,False,28.45,12.85,3,58.7
C01,Draw Probability >= 25%,321,2022,Qatar vs Ecuador,Away Win,Draw,False,31.02,3.56,2,65.43
C01,Draw Probability >= 25%,328,2022,USA vs Wales,Draw,Draw,True,34.58,-0.32,0,68.83
C01,Draw Probability >= 25%,334,2022,Mexico vs Poland,Draw,Home Win,True,29.29,6.84,2,63.87
C01,Draw Probability >= 25%,351,2022,Morocco vs Croatia,Draw,Away Win,True,28.14,15.77,2,56.1
C01,Draw Probability >= 25%,346,2022,Spain vs Costa Rica,Home Win,Home Win,False,25.08,21.74,2,53.19
C01,Draw Probability >= 25%,357,2022,Switzerland vs Cameroon,Home Win,Home Win,False,26.77,18.4,2,54.83
C01,Draw Probability >= 25%,364,2022,Portugal vs Ghana,Home Win,Home Win,False,26.77,18.24,3,54.99
C01,Draw Probability >= 25%,329,2022,Wales vs Iran,Away Win,Draw,False,32.92,8.14,0,58.94
C01,Draw Probability >= 25%,323,2022,Qatar vs Senegal,Away Win,Away Win,False,27.78,17.24,1,54.99
C01,Draw Probability >= 25%,330,2022,England vs USA,Draw,Home Win,True,25.77,20.73,1,53.5
C01,Draw Probability >= 25%,341,2022,Tunisia vs Australia,Away Win,Home Win,False,29.63,7.85,3,62.52
