condition_id,condition,selected_matches,actual_draws_covered,coverage,false_positives,precision,recall,f1
C01,Draw Probability >= 25%,84,22,75.86,62,26.19,75.86,38.94
C09,Draw Probability >= 25% AND Upset Probability >= 55%,66,18,62.07,48,27.27,62.07,37.89
C08,Draw Probability >= 25% AND Predicted Total Goals <= 3,72,18,62.07,54,25.0,62.07,35.64
C02,Draw Probability >= 27%,68,17,58.62,51,25.0,58.62,35.05
C06,Win Probability Gap <= 15%,56,14,48.28,42,25.0,48.28,32.94
C07,Draw Probability >= 25% AND Win Probability Gap <= 15%,56,14,48.28,42,25.0,48.28,32.94
C05,Win Probability Gap <= 10%,38,11,37.93,27,28.95,37.93,32.84
C10,Draw Probability >= 25% AND Win Probability Gap <= 15% AND Predicted Total Goals <= 3,49,12,41.38,37,24.49,41.38,30.77
C03,Draw Probability >= 30%,23,7,24.14,16,30.43,24.14,26.92
C04,Win Probability Gap <= 5%,6,2,6.9,4,33.33,6.9,11.43
