section,metric,matches,hits,accuracy,unavailable_matches,stage,top1_accuracy,top3_available_matches,top3_accuracy,top3_unavailable_matches,coverage_level,current_13_28_is_top1_accuracy,top3_accuracy_given_correct_result,top3_improvement_over_top1,front_end_should_emphasize_top3,historical_top3_note
top1_vs_top3,Top1 Score,140,21,15.0,,,,,,,,,,,,
top1_vs_top3,Top3 Score,12,4,33.33,128,,,,,,,,,,,
conditional_top3,Top1 Accuracy Given Correct Result,81,21,25.93,,,,,,,,,,,,
conditional_top3,Top3 Accuracy Given Correct Result,10,4,40.0,71,,,,,,,,,,,
stage_analysis,,96,,,,Group Stage,12.5,0,0.0,96,,,,,,
stage_analysis,,16,,,,Round of 16,18.75,0,0.0,16,,,,,,
stage_analysis,,8,,,,Quarter-finals,0.0,0,0.0,8,,,,,,
stage_analysis,,4,,,,Semi-finals,50.0,0,0.0,4,,,,,,
stage_analysis,,2,,,,Third-place match,0.0,0,0.0,2,,,,,,
stage_analysis,,2,,,,Final,0.0,0,0.0,2,,,,,,
stage_analysis,,1,,,,周一201,0.0,1,0.0,0,,,,,,
stage_analysis,,1,,,,周一202,0.0,1,0.0,0,,,,,,
stage_analysis,,1,,,,周一203,0.0,1,0.0,0,,,,,,
stage_analysis,,1,,,,周三201,100.0,1,100.0,0,,,,,,
stage_analysis,,1,,,,周三202,100.0,1,100.0,0,,,,,,
stage_analysis,,1,,,,周二201,0.0,1,0.0,0,,,,,,
stage_analysis,,1,,,,周二202,0.0,1,0.0,0,,,,,,
stage_analysis,,1,,,,周二203,0.0,1,0.0,0,,,,,,
stage_analysis,,1,,,,周五003,100.0,1,100.0,0,,,,,,
stage_analysis,,1,,,,周五004,0.0,1,0.0,0,,,,,,
stage_analysis,,1,,,,周四001,100.0,1,100.0,0,,,,,,
stage_analysis,,1,,,,周四002,0.0,1,0.0,0,,,,,,
coverage_analysis,,140,21,15.0,,,,,,,Top1,,,,,
coverage_analysis,,12,4,33.33,128,,,,,,Top2,,,,,
coverage_analysis,,12,4,33.33,128,,,,,,Top3,,,,,
conclusion,,,,,,,15.0,12,33.33,128,,True,40.0,18.33,True,"2018/2022 backtest rows only store Top1 predicted_score. Top3 coverage is calculated only for rows with stored top_scores, currently 2026 live settled matches."
