section,total_matches,actual_draws,predicted_draws,correct_draws,draw_recall,draw_precision,draw_f1_score,error_type,label,matches,percentage,stage,team,market_favorite_matches,wins,draws,losses,rule,hits_if_recommended_draw,hit_rate,actual_draw_rate,model_underestimates_draws,predicted_draw_rate,draw_is_major_error_source,missed_draws,false_draw_predictions,most_draw_prone_bucket,best_draw_rule,best_draw_rule_hit_rate,draw_warning_pool_recommended
summary,128,29,23,7,24.14,30.43,26.92,,,,,,,,,,,,,,,,,,,,,,,
error_type,,,,,,,,A_home_win_predicted_actual_draw,预测主胜实际平局,12,31.58,,,,,,,,,,,,,,,,,,,
error_type,,,,,,,,B_away_win_predicted_actual_draw,预测客胜实际平局,10,26.32,,,,,,,,,,,,,,,,,,,
error_type,,,,,,,,C_draw_predicted_actual_home_win,预测平局实际主胜,5,13.16,,,,,,,,,,,,,,,,,,,
error_type,,,,,,,,D_draw_predicted_actual_away_win,预测平局实际客胜,11,28.95,,,,,,,,,,,,,,,,,,,
stage,96,19,12,2,10.53,16.67,12.91,,,,,Group Stage,,,,,,,,,,,,,,,,,,
stage,16,5,4,2,40.0,50.0,44.44,,,,,Round of 16,,,,,,,,,,,,,,,,,,
stage,8,3,3,1,33.33,33.33,33.33,,,,,Quarter-finals,,,,,,,,,,,,,,,,,,
stage,4,1,2,1,100.0,50.0,66.67,,,,,Semi-finals,,,,,,,,,,,,,,,,,,
stage,2,0,1,0,0.0,0.0,0.0,,,,,Third-place match,,,,,,,,,,,,,,,,,,
stage,2,1,1,1,100.0,100.0,100.0,,,,,Final,,,,,,,,,,,,,,,,,,
elite_favorite,,,,,,,,,,,,,Argentina,10,5,3,2,,,,,,,,,,,,,
elite_favorite,,,,,,,,,,,,,France,13,11,1,1,,,,,,,,,,,,,
elite_favorite,,,,,,,,,,,,,Brazil,10,6,2,2,,,,,,,,,,,,,
elite_favorite,,,,,,,,,,,,,England,10,6,3,1,,,,,,,,,,,,,
elite_favorite,,,,,,,,,,,,,Germany,5,2,0,3,,,,,,,,,,,,,
elite_favorite,,,,,,,,,,,,,Spain,8,2,5,1,,,,,,,,,,,,,
elite_favorite,,,,,,,,,,,,,Portugal,8,4,1,3,,,,,,,,,,,,,
elite_favorite,,,,,,,,,,,,,Netherlands,4,3,1,0,,,,,,,,,,,,,
elite_favorite,,,,,,,,,,,,,Belgium,7,5,1,1,,,,,,,,,,,,,
rule,,,,,,,,,,84,,,,,,,,A_draw_probability_gte_25,22,26.19,26.19,,,,,,,,,
rule,,,,,,,,,,23,,,,,,,,B_draw_probability_gte_30,7,30.43,30.43,,,,,,,,,
rule,,,,,,,,,,0,,,,,,,,C_draw_probability_gte_35,0,0.0,0.0,,,,,,,,,
rule,,,,,,,,,,33,,,,,,,,D_draw_probability_rank_top2,6,18.18,18.18,,,,,,,,,
conclusion,,,,,,,,,,,,,,,,,,,,,22.66,True,17.97,True,22,16,30-40%,B_draw_probability_gte_30,30.43,True
