section,total_matches,result_hits,result_accuracy,score_hits,score_accuracy,handicap_matches,handicap_hits,handicap_accuracy,average_roi,cumulative_roi,profit_units,win_rate,loss_rate,roi_sample_size,time_safe_invalid_matches,bucket,matches,roi,strategy,filter_rule,comparable_matches,conflict_matches,conflict_accuracy,conflict_roi,conflict_profit,non_conflict_matches,non_conflict_accuracy,non_conflict_roi,non_conflict_profit,stage,accuracy,profit,overall_accuracy,accuracy_after_excluding_conflict,accuracy_delta_after_excluding_conflict,team,system_score,roi_auditable,roi_audit_note,best_filter_threshold,best_confidence_range,best_filter_threshold_by_accuracy,best_confidence_range_by_accuracy,conflict_matches_should_be_filtered,upset_probability_effective,confidence_score_effective,highest_roi_strategy,highest_roi_top_confidence,highest_accuracy_strategy,highest_accuracy_confidence_bucket,highest_accuracy_top_confidence,recommend_world_cup_live_stage,sample_warning
overall,128,71,55.47,17,13.28,0,0,0.0,,,0,55.47,44.53,0,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidence_analysis,,,46.67,,6.67,,,,,,0,,,,,0-40,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidence_analysis,,,55.56,,12.96,,,,,,0,,,,,40-50,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidence_analysis,,,73.08,,26.92,,,,,,0,,,,,50-60,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidence_analysis,,,33.33,,0.0,,,,,,0,,,,,60-70,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidence_analysis,,,0.0,,0.0,,,,,,0,,,,,70-80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidence_analysis,,,0.0,,0.0,,,,,,0,,,,,80+,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upset_analysis,,,0.0,,0.0,,,,,,0,,,,,0-20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upset_analysis,,,33.33,,0.0,,,,,,0,,,,,20-40,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upset_analysis,,,73.08,,26.92,,,,,,0,,,,,40-50,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upset_analysis,,,52.54,,11.86,,,,,,0,,,,,50-60,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
