section,total_matches,result_hits,result_accuracy,score_hits,score_accuracy,handicap_matches,handicap_hits,handicap_accuracy,average_roi,cumulative_roi,profit_units,win_rate,loss_rate,roi_sample_size,time_safe_invalid_matches,bucket,matches,roi,strategy,filter_rule,comparable_matches,conflict_matches,conflict_accuracy,conflict_roi,conflict_profit,non_conflict_matches,non_conflict_accuracy,non_conflict_roi,non_conflict_profit,stage,accuracy,profit,team,system_score,roi_auditable,roi_audit_note,best_filter_threshold,best_confidence_range,best_filter_threshold_by_accuracy,best_confidence_range_by_accuracy,conflict_matches_should_be_filtered,upset_probability_effective,confidence_score_effective,highest_roi_strategy,highest_roi_top_confidence,highest_accuracy_strategy,highest_accuracy_confidence_bucket,highest_accuracy_top_confidence,recommend_world_cup_live_stage,sample_warning
overall,64,35,54.69,9,14.06,0,0,0.0,,,0,54.69,45.31,0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidence_analysis,,,42.86,,0.0,,,,,,0,,,,,0-40,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidence_analysis,,,56.0,,20.0,,,,,,0,,,,,40-50,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidence_analysis,,,68.75,,25.0,,,,,,0,,,,,50-60,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidence_analysis,,,50.0,,0.0,,,,,,0,,,,,60-70,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidence_analysis,,,0.0,,0.0,,,,,,0,,,,,70-80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidence_analysis,,,0.0,,0.0,,,,,,0,,,,,80+,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upset_analysis,,,0.0,,0.0,,,,,,0,,,,,0-20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upset_analysis,,,50.0,,0.0,,,,,,0,,,,,20-40,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upset_analysis,,,68.75,,25.0,,,,,,0,,,,,40-50,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upset_analysis,,,53.57,,17.86,,,,,,0,,,,,50-60,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upset_analysis,,,41.18,,0.0,,,,,,0,,,,,60-70,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upset_analysis,,,100.0,,0.0,,,,,,0,,,,,70+,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strategy_analysis,,,54.69,,14.06,,,,,,0,,,,,,64,,A_all_matches,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strategy_analysis,,,66.67,,22.22,,,,,,0,,,,,,18,,B_filter_upset_gt_50,upset_probability <= 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strategy_analysis,,,62.16,,18.92,,,,,,0,,,,,,37,,C_filter_upset_gt_55,upset_probability <= 55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strategy_analysis,,,58.7,,19.57,,,,,,0,,,,,,46,,D_filter_upset_gt_60,upset_probability <= 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strategy_analysis,,,51.79,,16.07,,,,,,0,,,,,,56,,E_filter_upset_gt_65,upset_probability <= 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
